data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
22/06/2023;11,39;não;18,13;não;24,86;não;0,0;não;6;6;42,01;não;78,2;não;2,5;;;;;;;;;1,64;64,73
21/06/2023;11,65;não;18,8;não;25,95;não;0,0;não;5;5;37,64;não;78,32;não;2,81;;;;;;;;;1,89;66,37
20/06/2023;11,27;não;17,95;não;24,63;não;0,0;não;4;4;40,93;não;78,4;não;2,44;;;;;;;;;1,69;68,26
19/06/2023;9,62;não;15,95;não;22,27;não;0,0;não;3;3;26,56;não;78,25;não;1,93;;;;;;;;;1,36;69,95
18/06/2023;8,37;não;13,31;não;18,25;não;0,25;não;2;2;23,88;não;78,36;não;1,13;;;;;;;;;0,88;71,31
17/06/2023;8,11;não;12,58;não;17,05;não;0,0;não;1;1;23,23;não;77,3;não;0,94;;;;;;;;;0,68;71,94
16/06/2023;13,68;não;15,61;não;17,53;não;14,99;não;0;0;22,88;não;25,17;não;0,72;;;;;;;;;0,72;72,62
15/06/2023;15,4;não;16,77;não;18,13;não;17,78;não;0;0;21,62;não;25,16;não;0,73;;;;;;;;;0,73;58,35
14/06/2023;15,48;não;19,21;não;22,93;não;4,06;não;0;14;21,97;não;74,67;não;1,62;;;;;;;;;1,62;41,3
13/06/2023;14,0;não;21,4;não;28,79;não;0,0;não;12;13;36,93;não;75,05;não;3,54;;;;;;;;;1,4;38,86
12/06/2023;13,52;não;20,82;não;28,11;não;0,0;não;11;12;37,4;não;75,59;não;3,35;;;;;;;;;1,37;40,26
11/06/2023;13,18;não;20,26;não;27,34;não;0,0;não;10;11;37,99;não;75,94;não;3,12;;;;;;;;;1,32;41,63
10/06/2023;12,84;não;19,68;não;26,51;não;0,0;não;9;10;41,66;não;76,46;não;2,87;;;;;;;;;1,25;42,95
09/06/2023;12,28;não;18,81;não;25,34;não;0,0;não;8;9;36,71;não;76,31;não;2,56;;;;;;;;;1,14;44,2
08/06/2023;12,64;não;19,19;não;25,74;não;0,0;não;7;8;44,67;não;76,65;não;2,65;;;;;;;;;1,22;45,34
07/06/2023;12,42;não;18,94;não;25,46;não;0,0;não;6;7;41,68;não;76,32;não;2,59;;;;;;;;;1,22;46,56
06/06/2023;11,84;não;18,92;não;26,0;não;0,0;não;5;6;26,84;não;76,42;não;2,82;;;;;;;;;1,37;47,78
05/06/2023;11,55;não;18,58;não;25,6;não;0,0;não;4;5;28,12;não;76,38;não;2,73;;;;;;;;;1,36;49,15
